Country Name,Country Code,Series Name,Series Code,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,country_type
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.76454538063129,0.537613083660716,8.82331497485367,3.07077393782897,2.02608104052698,0.117019610679606,1.4133398815319,2.31149874156277,0.449327404480641,8.28642648036377,2.99838289707345,8.53489496068103,0.370353563662789,4.60782499965684,3.66462151207865,0.796878878579221,4.25530339455582,9.56219662181179,0.345984740208507,-1.77869668772937,8.51736499112322,7.9553627287484,-0.236336789143323,5.79559296458005,2.15026727173506,-0.602928477580988,9.06998445877436,0.232710761845951,3.46138493945818,1.31500727210265,5.71637386269622,11.014743869558,6.31683473483768,7.30771963496896,7.39523780111931,1.88847388906525,6.61340574539679,4.35296382988099,7.80249388870359,4.47845213670386,8.66187322841225,6.25316468817478,4.11137901761516,5.79999174105387,2.96195085866692,8.44628157707625,6.62256261306693,6.45267237953146,5.79258484509867,4.32684561452976,3.9212287937935,5.95797670754024,6.20348941121868,6.60456906812341,5.8892049704591,2.01077262411845,6.93915524675779,1.77791543778547,2.96018001322078,low_income
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.8321054568475765,1.8960730209660905,10.489382850598247,1.9478880673952563,0.86420697953258,7.1865699847415385,1.8578361584007033,-0.5936558136510701,2.5959018426415374,5.282004465993735,2.231562010120699,8.337483632501153,4.070053390412692,1.67982995510101,2.9980659914642436,1.9617999792099,6.891294119646647,6.023597807804487,1.75448000431061,-1.1339497901663345,1.76396000385284,6.386968639066404,1.6768075137452647,1.42607998847961,1.8833455933293202,0.7646550603168512,6.11899222938718,1.6868553809229754,3.28669246972909,3.45110011100769,4.40218693134811,1.44026005268097,4.7319173674188395,5.24935981748448,5.270618900559655,2.516736944532625,4.888702872698395,3.7664819149404947,5.469746944351795,3.82872606835193,3.94113993644714,3.98218989372253,4.07983016967773,3.716995870526935,2.28997542933346,3.50222992897034,3.98515009880066,3.60315990447998,4.08343982696533,4.05329990386963,3.67008996009827,3.65698835377012,5.62846994400024,5.488609790802,5.40700006484985,5.15100002288818,5.22399997711182,5.27699995040894,1.94509000661039,low_income
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.8996655330638634,3.254532958271465,12.155450726342822,0.8250021969615426,-0.2976670814618201,14.25612035880347,2.3023324352695065,-3.4988103688649104,4.742476280802434,2.2775824516237,1.4647411231679481,8.140072304321276,7.769753217162596,0.3696269833456811,2.3315104708498366,1.4764278521581884,9.527284844737473,2.4849989937971833,2.734903497850865,-0.48920289260329874,6.77357009125912,4.818574549384407,3.589951816633852,3.22855217798541,1.6164239149235802,2.1322385982146903,3.168,3.141,3.112,3.133,3.088,3.095,3.147,3.191,3.146,3.145,3.164,3.18,3.137,3.179,3.15,3.185,2.4,1.634,1.618,1.612,1.599,1.591,1.584,1.572,1.444,1.356,1.258,1.157,1.053,1.03,1.11,0.919,0.93,low_income
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.96722560928015,4.61299289557684,13.8215186020874,-0.297883673472171,-1.45954114245622,21.3256707328654,2.74682871213831,-6.40396492407875,6.88905071896333,-0.726839562746335,0.697920236215197,7.9426609761414,11.4694530439125,-0.940575988409648,1.66495495023543,0.991055725106477,12.1632755698283,-1.05359982021012,3.71532699139112,0.155544004959737,11.7831801786654,3.25018045970241,5.50309611952244,5.03102436749121,1.34950223651784,3.49982213611253,4.99683644792125,1.00999837099629,-6.24000000139047,-3.82999999619828,-7.92000000374772,-7.99999999794093,-1.58999999685828,4.74999999509613,-1.00999999649815,-0.856864058424151,2.05580710835243,4.44651941224797,-1.22372796023444,4.83365776809453,0.900000000901912,5.41380714491444,3.45194856381943,4.86171636712641,3.81274536633418,5.12415999439806,4.03259998844415,4.44670633111495,4.92418989834684,4.24065021402657,-3.9000000804855,-0.600000909116389,0.500001262429279,1.60993542127714,1.81256532401552,0.327156892638385,3.09999999870627,1.84899943948213,2.70000059705133,low_income
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.9606766436057184,3.290256503797159,10.7732167710252,0.26944860999552606,1.3908200809061735,14.994740780841425,2.2079532694449897,-4.269599007662871,5.222347131406886,1.62845149559683,0.6002758588241527,7.105946979731907,8.91504700063578,-0.2239721857944652,2.80335998535156,-0.8321757992455087,3.34676003456116,1.8695279968278968,-0.23195320332114644,3.2642715542816014,9.164526631770453,3.35944672456981,2.02240145133981,3.9240713399020937,1.5587583025183767,3.35932993888855,3.49365997314453,3.8058500289917,-0.25250000069523537,4.565269947052,5.01511001586914,4.08324003219604,2.02150000157086,5.175999997548065,3.41744995117188,2.64547991752625,2.90390992164612,3.00493001937866,2.2036360198827802,3.74496006965637,3.632159948349,5.43690357245722,4.435474281909714,5.19290018081665,6.17194986343384,6.77524995803833,6.31925010681152,6.16777992248535,5.99539995193481,6.78452014923096,6.37133979797363,4.69199991226196,4.76202011108398,5.07864999771118,5.34700012207031,5.32200002670288,4.87099981307983,4.82100009918213,4.493000298525665,low_income
Central African Republic,CAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.9541276779312873,1.967520112017478,7.724914939963001,0.836780893463223,4.241181304268567,8.663810828817448,1.66907782675167,-2.1352330912469926,3.5556435438504432,3.9837425539399947,0.5026314814331083,6.269232983322413,6.3606409573590605,0.49263161682071754,0.16911110033260002,-2.6554073235974944,0.9011471849298349,4.792655813865913,-4.179233398033412,6.372999103603466,6.545873084875507,3.46871298943721,-1.4582932168428204,2.8171183123129766,1.7680143685189134,0.6059009365738399,5.561,5.672,5.735,5.757,5.709,5.676,5.633,5.602,5.593,5.546,5.589,5.625,5.631,5.56,5.53,5.46,5.419,5.372,5.463,5.585,5.551,5.52,5.56,5.685,5.871,5.904,5.969,5.896,5.978,6.556,6.676,6.337,6.286,low_income
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.947578712256856,0.644783720237797,4.6766131089008,1.40411317693092,7.09154252763096,2.33288087679347,1.13020238405835,-0.0008671748311144,1.888939956294,6.33903361228316,0.404987104042064,5.43251898691292,3.80623491408234,1.2092354194359,-2.46513778468636,-4.47863884794948,-1.54446566470149,7.71578363090393,-8.12651359274568,9.48172665292533,3.92721953798056,3.57797925430461,-4.93898788502545,1.71016528472386,1.97727043451945,-2.14752806574087,-0.552543005101867,-6.42407819946331,0.335275684646064,4.89994941000114,7.20004555751903,-4.00009296364789,5.29993601826074,4.70014237879329,3.59997490432274,-2.48943244028874,4.46473902640867,3.61654219150596,-5.39748521855877,5.99488422798696,0.908210514871953,4.77108543044105,4.60753485452025,2.05413096200485,8.58726042640994,4.63081843223307,4.19461533741989,5.05376125356918,-36.3919770983887,0.0810705153264877,4.33712103020231,4.75031684122342,4.52727821346231,3.78944359275462,3.09999999999999,0.899999996857062,0.982919996264229,0.502110003427035,0.870251450842758,low_income
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,0.8337950702798194,-0.17250831717426873,3.373475866697232,0.7836691624412424,7.0214650930180165,2.1751394107141033,0.004259465222343328,0.38262724839016377,-1.5343343651401369,5.879973269034997,3.2734138378628894,4.6152677477842365,3.282364892434133,3.17053008079529,-8.790454419428308,-5.00164948107634,-0.6820044089350666,6.92605875372566,-0.19143646891918653,7.0041174055556565,9.882404202117707,2.20775008201599,2.54804992675781,6.300896546487007,2.94642532384976,2.2441999912262,2.27630996704102,-2.8820390997316547,0.517637842323032,2.80547470500057,3.9755227787595153,-1.6495464818239451,3.01596800913037,2.713571189396645,1.69001996517181,1.61265003681183,2.626869513204335,1.5195699930191,1.53980004787445,1.6245299577713,1.65222001075745,1.41506004333496,1.31332004070282,1.29000997543335,1.25458002090454,1.11760997772217,1.10792005062103,1.98000001907349,2.63800001144409,2.22000002861023,1.9099999666214,1.75399994850159,1.75399994850159,1.56599998474121,1.76800000667572,2.14499998092651,1.87300002574921,2.11500000953674,0.9761257254213791,low_income
Chad,TCD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.7200114283027826,-0.9898003545863344,2.070338624493664,0.16322514795156473,6.951387658405073,2.0173979446347365,-1.1216834536136633,0.766121671611442,-4.9576086865742734,5.420912925786833,6.141840571683715,3.7980165086555537,2.7584948707859267,1.3504479463816434,-15.115771054170256,-5.5246601142032,0.18045684683135677,6.13633387654739,7.743640654907306,4.526508158185983,15.837588866254855,-0.9369587176286847,0.07962071471688503,10.891627808250155,3.91558021318007,-0.9671361907752849,0.669,0.66,0.7,0.711,0.751,0.701,0.732,0.727,0.752,0.792,0.789,0.768,0.728,0.679,0.67,0.716,0.829,0.904,0.903,0.873,0.899,0.893,0.942,0.926,0.968,1.044,1.116,1.135,1.081,1.693,1.511,1.104,1.082,low_income
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.606227786325746,-1.8070923919984,0.767201382290096,-0.457218866538113,6.88131022379213,1.85965647855537,-2.24762637244967,1.14961609483272,-8.38088300800841,4.96185258253867,9.01026730550454,2.98076526952687,2.23462484913772,-0.469634188032003,-21.4410876889122,-6.04767074733006,1.04291810259778,5.34660899936912,15.6787177787338,2.04889891081631,21.792773530392,-4.08166751727336,-2.38880849732404,15.4823590700133,4.88473510251038,-4.17847237277677,8.53513716647174,8.00144334631926,-15.7098370452077,10.1368876335147,1.23654931686494,2.21447303467441,5.65339232788355,6.95157991354007,-0.682850217297741,-0.879681025444839,11.658134654294,8.49120981898056,14.7216670121033,33.6293718524659,17.3325337350837,0.648262014094513,3.27149957888643,3.05269153196828,4.21769555189633,13.5501008595489,0.0828697984381961,8.88257607170316,5.70000136285864,6.89998504532166,2.76767568484473,-6.25552708545281,-2.98869598553931,2.37403780037786,3.24718191743429,-1.60000673705524,-1.16918700397552,2.80434074839411,4.12231962001739,low_income
